1,3,15
1,3,10
1,3,20
1,3,15
1,3,10
1,3,20
1,3,15
1,3,10
1,3,20
2,3,15
2,3,10
2,3,20
2,3,15
2,3,10
2,3,20
2,3,15
2,3,10
2,3,20
2,3,15
2,3,10
2,3,20
1,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,1,30
1,1,30
3,1,30
1,1,30
2,1,30
1,1,30
1,1,30
2,2,14
1,2,14
1,2,14
3,2,14
2,2,14
2,2,14
1,2,14
1,2,14
1,1,30
2,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,1,30
2,1,30
1,1,30
1,1,30
2,1,30
1,1,30
1,1,30
2,2,14
1,2,14
1,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
2,2,14
2,2,14
1,2,14
3,2,14
2,2,14
1,1,30
1,1,30
3,1,30
1,1,30
2,1,30
1,1,30
1,1,30
2,2,14
1,2,14
1,2,14
3,2,14
2,2,14
2,2,14
1,2,14
1,2,14
1,1,30
2,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,1,30
2,1,30
1,1,30
1,1,30
2,1,30
1,1,30
1,1,30
2,2,14
1,2,14
1,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
2,2,14
2,2,14
1,2,14
3,2,14
2,2,14
1,1,30
1,1,30
3,1,30
1,1,30
2,1,30
1,1,30
1,1,30
2,2,14
1,2,14
1,2,14
3,2,14
2,2,14
2,2,14
1,2,14
1,2,14
1,1,30
2,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,1,30
2,1,30
1,1,30
1,1,30
2,1,30
1,1,30
1,1,30
2,2,14
1,2,14
1,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
2,2,14
2,2,14
1,2,14
3,2,14
2,2,14
1,1,30
1,1,30
3,1,30
1,1,30
2,1,30
1,1,30
1,1,30
2,2,14
1,2,14
1,2,14
3,2,14
2,2,14
2,2,14
1,2,14
1,2,14
1,1,30
2,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,1,30
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,2,14
1,1,30
2,1,30
1,1,30
1,1,30
2,1,30
1,1,30
1,1,30
2,2,14
1,2,14
1,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
2,2,14
3,2,14
